 756
went year 15
went germani 15
ye use 15
read book 15
mother side 15
ye lot 15
went itali 15
use eat 15
boat went 15
year school 15
short time 15
father side 15
name name 15
tinger ph 15
mostli jewish 14
ship came 14
everybodi els 14
hous went 14
june th 14
got elli 14
littl boy 14
bread use 14
grandmoth use 14
went know 14
came ye 14
time ago 14
good know 14
went live 14
alway want 14
stay day 14
day took 14
that’ right 14
cathol church 14
know talk 14
come day 14
took week 14
know look 14
aunt mother 14
father got 14
home time 14
came littl 14
children born 14
everyth know 14
look forward 14
hard work 14
know don’t 14
wash cloth 14
came boat 14
think rememb 14
realli realli 14
togeth know 14
ye 14
good good 14
big ship 14
mayb year 14
know saw 14
come york 14
noth els 14
someth eat 14
hous ye 14
time saw 14
half year 14
thing got 14
period time 14
taken care 14
famili mother 14
big room 14
seven day 14
side side 14
care children 14
town littl 14
peopl want 14
rememb realli 14
much rememb 14
anyth want 14
someth rememb 14
left america 14
got pictur 14
america want 14
ye uhhuh 14
small hous 13
came along 13
main thing 13
went boat 13
knew knew 13
stay home 13
came sister 13
mother gave 13
hors buggi 13
know must 13
went warsaw 13
room know 13
mother born 13
alway rememb 13
knew know 13
nice know 13
laugh use 13
year apart 13
know school 13
mother much 13
kid use 13
knew go 13
mother tell 13
came took 13
went bed 13
mother parent 13
kid rememb 13
children father 13
sister younger 13
fell love 13
tell much 13
brother father 13
ye time 13
boat rememb 13
dollar week 13
front hous 13
think probabl 13
come visit 13
got work 13
april th 13
aunt live 13
realli don’t 13
use alway 13
littl older 13
ship come 13
know sister 13
town went 13
year born 13
greek orthodox 13
that’ rememb 13
away know 13
telephon ring 13
day got 13
america ye 13
food food 13
decemb th 13
money sent 13
year time 13
left came 13
big thing 13
thought come 13
sea sick 13
month later 13
differ countri 13
thank god 13
rememb big 13
side begin 13
came left 13
far know 13
went mother 13
took took 13
know small 13
know anyway 13
rememb lot 13
fifteen year 13
clear throat 13
thousand peopl 13
rememb grandmoth 13
hundr dollar 13
day week 13
coupl week 13
good thing 13
fourth grade 13
town use 12
learn trade 12
live went 12
ye think 12
year got 12
start come 12
money use 12
rememb peopl 12
lot time 12
train went 12
ship go 12
run water 12
rememb laugh 12
time laugh 12
grandfath mother 12
walk school 12
sister went 12
school use 12
next door 12
use visit 12
time work 12
noth know 12
know mayb 12
day later 12
year come 12
hous mother 12
nice littl 12
till came 12
live small 12
name father 12
brother come 12
war know 12
grandfath father 12
want mother 12
grandpar live 12
whatev call 12
boat came 12
live big 12
good food 12
america father 12
know children 12
boat ship 12
rememb grandfath 12
took year 12
work got 12
ship got 12
sent ticket 12
mother’ sister 12
cook know 12
use littl 12
york harbor 12
use big 12
mother let 12
thirteen year 12
know stay 12
whatev need 12
america mother 12
work father 12
german came 12
sit around 12
famili famili 12
mother left 12
rememb come 12
seventeen year 12
rememb distinctli 12
use help 12
know someth 12
town name 12
school ye 12
grandmoth die 12
make live 12
rememb live 12
father ye 12
finish school 12
famili came 12
far rememb 12
school call 12
town live 12
piec bread 12
railroad station 12
ship took 12
christma time 12
play around 12
right know 12
time think 12
use send 12
went town 12
sister die 12
take care 12
went call 12
tape begin 12
till got 12
fort edward 12
whole town 11
left know 11
red cross 11
want tell 11
young fellow 11
famili name 11
got train 11
year start 11
ran away 11
tri help 11
use bake 11
whatev know 11
girl boy 11
small littl 11
laugh got 11
countri time 11
stori told 11
go ye 11
play card 11
come live 11
work day 11
septemb th 11
right near 11
name laugh 11
littl babi 11
eat eat 11
go marri 11
much father 11
rememb clearli 11
school graduat 11
year sister 11
come town 11
rememb brother 11
want work 11
abl come 11
rememb play 11
thought go 11
brother older 11
money came 11
didn’t want 11
away home 11
war war 11
mean know 11
time left 11
speak languag 11
town rememb 11
peopl work 11
live famili 11
thing mother 11
help mother 11
time peopl 11
littl room 11
father uncl 11
rememb quit 11
train came 11
six eight 11
everybodi got 11
look good 11
think came 11
peopl knew 11
certain amount 11
use cut 11
certain thing 11
left russia 11
eighteen year 11
went away 11
come time 11
thing father 11
mother go 11
countri ye 11
use watch 11
farm farm 11
door open 11
sister mother 11
littl boat 11
room live 11
milk cow 11
sew machin 11
town born 11
know jewish 11
home home 11
got countri 11
left mother 11
big town 11
better life 11
die young 11
friend mine 11
got money 11
cours went 11
day rememb 11
use school 11
happen know 11
go around 11
cousin live 11
hous father 11
come state 11
got passport 11
around use 11
jewish popul 11
room hous 11
told know 11
school littl 11
eleven year 11
use carri 11
mother cook 11
didn’t much 11
russian armi 11
cut hair 11
look around 11
born born 11
right war 11
everybodi knew 11
know everyth 11
year war 11
brother left 11
left everyth 11
six children 11
know brother 11
hous room 11
school got 11
tel aviv 11
russia know 11
sister name 11
go know 11
marri man 11
know boat 11
saw statu 11
think use 11
know read 11
big farm 11
red armi 11
room use 11
sick know 11
water water 11
year use 10
differ town 10
children play 10
sister marri 10
think call 10
thing alway 10
came rememb 10
cours thing 10
time knew 10
earli morn 10
knew father 10
mayb mayb 10
whatev want 10
th born 10
war rememb 10
littl know 10
went hous 10
went place 10
ye nice 10
sent mother 10
lot lot 10
know bring 10
good man 10
come rememb 10
tell rememb 10
ye don’t 10
rememb year 10
tell thing 10
fool around 10
peopl got 10
left year 10
state came 10
good cook 10
war time 10
die mother 10
know thought 10
life rememb 10
went took 10
uncl mother 10
come father 10
night rememb 10
born littl 10
brother younger 10
wait boat 10
time live 10
life know 10
nice nice 10
readi come 10
cross ocean 10
marri mother 10
live uncl 10
littl children 10
thing realli 10
train station 10
post offic 10
boat go 10
want eat 10
went big 10
america go 10
walk street 10
state depart 10
day left 10
came start 10
guess mother 10
hous small 10
lot know 10
state ye 10
use cook 10
laugh cours 10
know spell 10
cover wagon 10
cours got 10
know cook 10
live york 10
mother religi 10
uncl came 10
son daughter 10
street live 10
went night 10
chang name 10
